Trial,PIPW,POR,PDR
0,-0.012314260005950928,-1.0285478830337524,-1.228179
1,-1.3647054433822632,-0.9857938289642334,-1.1674821
2,-1.1140494346618652,-0.9622893333435059,-1.1202242
3,-1.1314561367034912,-1.1652528047561646,-0.9956055
4,-1.7298506498336792,-0.8766666054725647,-1.1144811
5,-0.3455919027328491,-0.9761946201324463,-1.1742523
6,-1.1630281209945679,-0.9139288663864136,-1.0750027
7,-0.7707409858703613,-1.0468838214874268,-1.112771
8,-0.9291784167289734,-1.162651777267456,-1.1449419
9,-1.0765200853347778,-0.924360990524292,-1.0950596
10,-0.6501560211181641,-0.8484899997711182,-1.2230548
11,-0.1748214215040207,-1.0127243995666504,-1.0809596
12,-0.3797605037689209,-1.1294023990631104,-1.0303179
13,-1.1028858423233032,-0.9139043092727661,-1.0351452
14,-1.3549773693084717,-1.1151223182678223,-1.0834477
15,-1.3460880517959595,-1.1178971529006958,-1.0708073
16,-2.0257718563079834,-1.0216929912567139,-1.0661606
17,-1.5212956666946411,-1.0064526796340942,-0.9598208
18,-0.23169487714767456,-0.8796270489692688,-1.0995698
19,-0.09076492488384247,-0.9753949642181396,-1.1129524
20,-1.126349687576294,-1.0444810390472412,-1.0220948
21,-0.21984326839447021,-1.055360198020935,-1.1246269
22,-1.0696136951446533,-1.0278151035308838,-1.1285248
23,-1.386521339416504,-0.8637044429779053,-1.0205345
24,-0.346610963344574,-1.1171835660934448,-1.1598943
25,-0.5875518321990967,-0.910439133644104,-1.0174065
26,-0.12751895189285278,-1.0016931295394897,-0.94552
27,-1.2018449306488037,-1.0955613851547241,-1.0793175
28,-1.1331623792648315,-1.0629429817199707,-1.129177
29,-1.0130841732025146,-0.9608067274093628,-1.1978681
30,-1.5692238807678223,-0.9990562200546265,-1.1689663
31,-0.686476469039917,-1.0977303981781006,-1.1503323
32,-1.2512404918670654,-1.0681008100509644,-1.2079959
33,-0.4081621766090393,-0.992732048034668,-1.0119815
34,-0.3283191919326782,-1.1826491355895996,-1.0319439
35,-1.0059579610824585,-1.0787497758865356,-1.1973215
36,-0.6577861905097961,-0.9438733458518982,-1.1388497
37,-1.3297115564346313,-0.9297624826431274,-1.0906125
38,-1.2162339687347412,-0.9449310302734375,-1.0372065
39,-0.749240517616272,-1.0337743759155273,-0.9996896
40,-1.1131970882415771,-0.9853994846343994,-0.9389615
41,-0.7317910194396973,-0.9649963974952698,-1.052867
42,-2.102105140686035,-1.047308087348938,-1.0974572
43,-2.2798705101013184,-1.0468857288360596,-1.0944293
44,-0.9602401256561279,-1.166906714439392,-1.1324062
45,-0.7634690999984741,-1.0181283950805664,-0.9511937
46,-1.1921048164367676,-0.9061709642410278,-1.0994987
47,-1.4671777486801147,-1.0665422677993774,-1.1050471
48,-1.1680282354354858,-1.2311148643493652,-1.2100557
49,0.29474177956581116,-1.156212568283081,-1.0535972
50,-1.1705560684204102,-1.0871304273605347,-0.97250384
51,-0.1041724681854248,-1.1674237251281738,-1.0514634
52,-1.358267068862915,-1.0949413776397705,-1.0117383
53,-0.9655632972717285,-1.1705280542373657,-1.065171
54,-1.1342061758041382,-1.047560691833496,-1.120682
55,-0.739597737789154,-1.0244990587234497,-1.0441662
56,-1.3856356143951416,-0.953693687915802,-1.227855
57,-0.0027701258659362793,-0.9524825811386108,-1.1689651
58,-1.3948085308074951,-1.0926151275634766,-1.1222391
59,-0.8402956128120422,-1.0604275465011597,-1.2241607
60,-0.6645488739013672,-1.0052170753479004,-1.057083
61,-0.4111337661743164,-1.0396790504455566,-1.0902169
62,-0.4151035249233246,-0.9468010663986206,-1.1336129
63,-0.6423344612121582,-1.1329206228256226,-1.1079748
64,-0.8634650707244873,-1.0617616176605225,-1.1515651
65,-0.7895461916923523,-1.105029582977295,-1.0561826
66,-1.0188345909118652,-1.07682204246521,-0.89187586
67,-0.658320426940918,-0.9259276986122131,-1.1338022
68,-1.205020546913147,-1.0659756660461426,-1.0971733
69,-0.8195668458938599,-1.0911058187484741,-1.0862279
70,-0.4441840946674347,-1.1150648593902588,-1.0887387
71,-1.0056440830230713,-0.9786666631698608,-1.0603573
72,-1.1302655935287476,-1.0835126638412476,-1.1370652
73,-1.8571043014526367,-0.8888646364212036,-1.1224427
74,-1.241280198097229,-0.9220865368843079,-1.1420063
75,-0.8449483513832092,-1.079024314880371,-1.1016173
76,-1.2764055728912354,-1.106044054031372,-0.9646506
77,-0.7857265472412109,-0.8752442598342896,-0.96075326
78,-1.0187492370605469,-0.9414719343185425,-1.186291
79,-0.9471973180770874,-0.9936907291412354,-1.161446
80,-1.2042349576950073,-0.9973357319831848,-0.9362639
81,-0.9276472926139832,-0.9951221942901611,-1.118074
82,-0.2191627025604248,-0.9517111778259277,-1.1960113
83,-1.0474330186843872,-0.9665277004241943,-1.0114776
84,-1.552365779876709,-1.0624784231185913,-1.0678016
85,-1.057102918624878,-1.1370517015457153,-1.1328363
86,-1.6829595565795898,-1.1394866704940796,-1.0303662
87,-0.872073233127594,-1.043810248374939,-1.0488237
88,-0.9855985641479492,-1.1864858865737915,-1.1523848
89,-1.3667502403259277,-0.9067726731300354,-1.0228714
90,-0.9681655168533325,-1.0832511186599731,-1.1281126
91,-1.0514525175094604,-1.1207351684570312,-1.0676763
92,-0.7454015016555786,-1.033240556716919,-1.0848223
93,-0.8946832418441772,-1.0253981351852417,-1.1276597
94,0.10870900750160217,-1.0976704359054565,-1.0059221
95,-0.40038180351257324,-0.983948826789856,-1.0697663
96,-1.4461493492126465,-0.9465522766113281,-1.1577449
97,-1.011846899986267,-1.160110354423523,-1.1347361
98,-0.8449562788009644,-1.101996898651123,-1.1611917
99,-0.9129167795181274,-1.0932977199554443,-1.1936399
